id,name,PLZ
6158,Vionnaz,1899
6159,Vouvry,1896
6172,Bister,3983
6181,Riederalp,3986
6181,Riederalp,3987
6191,Ausserberg,3938
6191,Ausserberg,3942
6192,Blatten,3919
6193,Bürchen,3935
6195,Ferden,3916
6195,Ferden,3917
6198,Niedergesteln,3949
6201,Unterbäch,3944
6202,Wiler (Lötschen),3918
6205,Bettmeralp,3991
6205,Bettmeralp,3992
6211,Collonges,1903
6212,Dorénaz,1905
6213,Evionnaz,1902
6214,Finhaut,1925
6215,Massongex,1869
6215,Massongex,1891
6217,Saint-Maurice,1890
6218,Salvan,1922
6218,Salvan,1923
6232,Chalais,3966
6232,Chalais,3979
6235,Chippis,3965
6239,Icogne,1977
6239,Icogne,1978
6239,Icogne,3963
6240,Lens,3971
6240,Lens,3978
6248,Sierre,3960
6248,Sierre,3976
6248,Sierre,3977
6252,Anniviers,3961
6253,Crans-Montana,3972
6253,Crans-Montana,3973
6253,Crans-Montana,3974
6253,Crans-Montana,3975
6254,Noble-Contrée,3968
6263,Grimisuat,1950
6263,Grimisuat,1971
6265,Savièse,1962
6266,Sion,1991
6281,Baltschieder,3930
6281,Baltschieder,3937
6282,Eisten,3908
6282,Eisten,3922
6283,Embd,3926
6285,Grächen,3925
6286,Lalden,3931
6287,Randa,3928
6288,Saas-Almagell,3905
6289,Saas-Balen,3906
6289,Saas-Balen,3910
6292,St. Niklaus,3924
6292,St. Niklaus,3927
6293,Stalden (VS),3923
6294,Staldenried,3933
6295,Täsch,3929
6298,Visperterminen,3932
6299,Zeneggen,3934
6300,Zermatt,3920
6404,Boudry,2013
6404,Boudry,2014
6404,Boudry,2015
6404,Boudry,2016
6404,Boudry,2017
6404,Boudry,2019
6404,Boudry,2022
6404,Boudry,2149
6413,Rochefort,2035
6413,Rochefort,2037
6413,Rochefort,2103
6413,Rochefort,2318
6416,Milvignes,2000
6416,Milvignes,2012
6416,Milvignes,2036
6417,La Grande Béroche,2023
6417,La Grande Béroche,2024
6417,La Grande Béroche,2025
6417,La Grande Béroche,2027
6421,La Chaux-de-Fonds,2300
6421,La Chaux-de-Fonds,2314
6421,La Chaux-de-Fonds,2322
6422,Les Planchettes,2325
6432,La Brévine,2124
6432,La Brévine,2406
6434,Le Cerneux-Péquignot,2400
6434,Le Cerneux-Péquignot,2405
6434,Le Cerneux-Péquignot,2414
6436,Le Locle,2416
6437,Les Ponts-de-Martel,2105
6437,Les Ponts-de-Martel,2316
6451,Cornaux,2072
6451,Cornaux,2075
6451,Cornaux,2087
6452,Cressier (NE),2088
6453,Enges,2067
6453,Enges,2073
6454,Hauterive (NE),2068
6458,Neuchâtel,2034
6458,Neuchâtel,2042
6461,La Tène,2074
6487,Val-de-Ruz,2043
6487,Val-de-Ruz,2046
6487,Val-de-Ruz,2052
6487,Val-de-Ruz,2053
6487,Val-de-Ruz,2054
6487,Val-de-Ruz,2056
6487,Val-de-Ruz,2057
6487,Val-de-Ruz,2058
6487,Val-de-Ruz,2063
6487,Val-de-Ruz,2065
6487,Val-de-Ruz,2206
6487,Val-de-Ruz,2207
6487,Val-de-Ruz,2208
6504,La Côte-aux-Fées,2115
6504,La Côte-aux-Fées,2117
6511,Les Verrières,2126
6512,Val-de-Travers,2112
6512,Val-de-Travers,2113
6512,Val-de-Travers,2114
6512,Val-de-Travers,2116
6512,Val-de-Travers,2123
6512,Val-de-Travers,2127
6601,Aire-la-Ville,1288
6602,Anières,1247
6603,Avully,1237
6604,Avusy,1236
6604,Avusy,1285
6605,Bardonnex,1257
6605,Bardonnex,1258
6606,Bellevue,1293
6607,Bernex,1232
6607,Bernex,1233
6607,Bernex,1286
6608,Carouge (GE),1227
6610,Céligny,1298
6611,Chancy,1284
6612,Chêne-Bougeries,1224
